2019-10-10T06:28:52.340Z - info: daily-log.js - Development mode, use both transport
2019-10-10T06:32:48.480Z - info: daily-log.js - Development mode, use both transport
2019-10-10T06:36:36.876Z - info: daily-log.js - Development mode, use both transport
2019-10-10T06:49:25.283Z - info: daily-log.js - Development mode, use both transport
2019-10-10T06:50:51.843Z - info: daily-log.js - Development mode, use both transport
2019-10-10T07:31:48.245Z - info: daily-log.js - Development mode, use both transport
2019-10-10T08:31:06.888Z - info: daily-log.js - Development mode, use both transport
2019-10-10T08:47:46.962Z - info: daily-log.js - Development mode, use both transport
2019-10-10T08:48:58.280Z - info: daily-log.js - Development mode, use both transport
2019-10-10T08:56:06.760Z - info: daily-log.js - Development mode, use both transport
2019-10-10T08:56:24.052Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:05:53.701Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:07:23.708Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:08:12.374Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:09:38.323Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:12:57.907Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:13:13.979Z - info: daily-log.js - Development mode, use both transport
2019-10-10T09:23:40.160Z - info: daily-log.js - Development mode, use both transport
